epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
265,,1.82332,1.783,2.45397,0.84507,0.88003,0.90674,,1.3883,1.14329,2.02018
266,,1.84712,1.77872,2.46351,0.83689,0.88511,0.90652,,1.38834,1.14224,2.0202
267,,1.83342,1.80296,2.4616,0.83721,0.8855,0.90627,,1.38823,1.1419,2.02041
268,,1.83069,1.78089,2.45719,0.83821,0.88412,0.90563,,1.38742,1.14168,2.01978
269,,1.79523,1.75332,2.43476,0.83684,0.88442,0.90552,,1.38717,1.13915,2.02041
270,,1.77858,1.74506,2.43407,0.83509,0.88578,0.90508,,1.38609,1.13983,2.0197
271,,1.82422,1.78763,2.4654,0.83664,0.88668,0.90502,,1.38553,1.13869,2.01946
272,,1.80997,1.78524,2.4511,0.83822,0.88126,0.90515,,1.38489,1.13946,2.01901
273,,1.81297,1.7876,2.45731,0.83672,0.88548,0.90552,,1.3844,1.13834,2.01891
274,,1.81551,1.77531,2.455,0.83904,0.88357,0.90602,,1.38359,1.13726,2.0185
